Granuloma "Tumor inflamatorio compuesto por tejidos de granulación"
córticosuprarrenal "Las glándulas suprarrenales son pequeñas glándulas situadas encima de los riñones que liberan hormonas"
Aplasia "the failure of an organ or tissue to develop or to function normally"
ascitis "La ascitis es una acumulación de líquido que contiene proteínas (líquido ascítico) dentro del abdomen"
Desmopresina "La desmopresina es un medicamento sintético que tiene un efecto similar a la hormona antidiurética o vasopresina"
Crioprecipitado "Es la fracción de las proteínas plasmáticas que permanecen insolubles cuando el plasma fresco congelado es descongelado en condiciones apropiadas de temperatura"
gastroduodenal "the gastroduodenal artery is a small blood vessel in the abdomen"
postprandial "during or relating to the period after dinner or lunch"
epigástrica "La hernia epigástrica es una forma de hernia abdominal"
borborigmos "son los sonidos generados por el movimiento, tanto en los seres humanos como en los animales en general, de los gases a través de los intestinos"
dismnésicas "Los síntomas dismnésicos consisten en fenómenos de distorsión de los recuerdos que pueden originar sensaciones de familiaridad"
isquémico "Un accidente cerebrovascular isquémico se produce cuando un coágulo o masa grasa obstruye el suministro de sangre hacia el cerebro"
hipoperfusión "Disminución del flujo de sangre que pasa por un órgano"
embolización "significa ocluir de manera voluntaria vasos sanguíneos con diferentes intenciones"
idiopática "significa de irrupción espontánea o de causa desconocida"
miocardiopatía "el deterioro de la función del miocardio por cualquier razón"
endocarditis "Endocarditis is an infection of the endocardium"﻿alergología "especialidad que estudia la alergia, sus manifestaciones y se encarga de su tratamiento"
anestesiología "especialidad que estudia los procedimientos, aparatos y materiales relacionados con la anestesia, es decir con la pérdida de la sensibilidad dolorosa por medios científico - médicos"
biopsia "toma de una muestra de un tejido del organismo para ser analizado, así dependiendo del órgano del que se tome puede existir muchos tipos: biopsia hepática, digestiva, de piel, tiroidea, cuello del útero, etc"
leucocito “conjunto heterogéneo de células sanguíneas que son ejecutoras de la respuesta inmunitaria, interviniendo así en la defensa del organismo contra sustancias extrañas o agentes infecciosos”
campimetría "medición del campo visual del ojo por medio de campímetro a través de un ordenador"
cariotipo "propio de cada individuo. conjunto y disposición de la colocación de los cromosomas en una fase de su división. prueba genética."
cateterismo "introducción de un catéter en una cavidad hueca con fines diagnósticos o terapéuticos, utilizando contraste"
matraz “instrumento de vidrio con medidas para mezclar soluciones”
citología "estudio de la estructura y funciones de las células"
cobaltoterapia "sistema de irradiación intracavitaria"
colesterol "grasa que se deposita en el interior de las arteria"
ecografía "técnica diagnóstica que utilizando ultrasonidos los transforma en imágenes, existen varios tipos según las estructuras del organismo que se estudien: ecocardiografia (corazón), abdominal, ginecologica, tocologica, mamaria, oftálmica, tiroidea, de cadera, ecoencefalografia (cerebral), transrectal (recto), transvaginal (vagina), etc"
electroneurografía "prueba diagnóstica para medir la velocidad de conducción en los nervios sensitivos o motores, con estímulo naturales o eléctricos"
electrocardiograma "registro de la actividad cardiaca, que se realiza por la detección de su actividad eléctrica a través de electrodos que se sitúan en el paciente en las extremidades y en la pared torácica"
electronistagmografía "medición del temblor ocular mediante electrodos"
electroterapia "utilización terapéutica de la corriente eléctrica"
endoscopia "observación diagnóstica de cavidades corporales y órganos huecos con un endoscopio"
ergometría "medición del trabajo corporal estandarizado por medio del ergómetro y determinación de los cambios producidos por esa carga. alteraciones: latidos, presión arterial, consumo de oxígeno, etc"
bioanálisis “es una especialidad de las ciencias de la salud que posibilita el desarrollo de pruebas y estudios de laboratorio para la medición de las sustancias que se encuentran en el organismo”
electroencefalograma "registro de la actividad eléctrica generada por la corteza cerebral, que se obtiene mediante la aplicación de 20 electrodos al cráneo con el paciente en reposo completo durante una hora aproximadamente"
electroneurografía "registro de la velocidad de conducción en los nervios sensitivos o motores, con estímulos naturales o eléctricos"
electronistagmografía "medición del temblor ocular mediante electrodos"
electroterapia "utilización terapéutica de la corriente eléctrica"
endocrinología "estudio de las glándulas de secreción interna llamadas endocrinas y de las sustancias que producen que denominamos hormonas"
geriatría "rama de la medicina que se ocupa de los ancianos sanos o enfermos que precisen atenciones preventivas, cuidados clínicos, terapéuticos o de rehabilitación"
ginecología "especialidad quirúrgica que trata exclusivamente al sexo femenino. abarca el desarrollo específico sexual de la mujer y sus alteraciones y la fisiología y patología de los órganos femeninos que participan en la procreación"
hemodiálisis "proceso físico-químico mediante el cual el riñon artificial depura la sangre de las toxinas urémicas"
hemodinámica "estudio del flujo sanguíneo dentro del sistema vascular"
holter "mini electrocardiograma portátil que registra a lo largo de 24 horas alguna particularidad o suceso digno de atención" 
hematología "especialidad médica que se ocupa del estudio de la sangre, sus trastornos y su tratamiento"
hepatólogo "especialidad médica, rama de la especialidad del aparato digestivo encargada del estudio del hígado, vesícula biliar y sus enfermedades"
histerectomía "intervención quirúrgica consistente en la amputación más o menos radical del útero, con o sin conservación del cuello uterino, las trompas u los ovarios"
laparoscopia "introducción del endoscopio (veáse endoscopia) para la observación del espacio abdominal, introduciendo aire a través del laparoscopio. generalmente se hace a la altura del ombligo"
radiología “ especialidad médica, que se ocupa de generar imágenes del interior del cuerpo mediante diferentes agentes físicos”
laserterapia "sistema emotivo a través de la emisión de los rayos láser"
ligadura "ligadura quirúrgicas de las trompas de falopio con lazada como forma de esterilización de la mujer"
litotricia "fragmentación por ondas de los cálculos renales para posibilitar su eliminación con la orina"
litofragmentación "fragmentación por ondas de los cálculos renales para posibilitar su eliminación con la orina"
logopedia "especialidad no médica, que estudia y trata las patologías que afectan al habla"
magnetoterapia "terapia que emplea acción beneficiosa de las ondas y lo campos magnéticos"
mamografía "radiografía de la glándula mamaria femenina (3 planos), con determinadas condiciones de penetración para el diagnóstico precoz de tumores"
odontología “ es una de las ciencias de la salud que se encarga del diagnóstico, tratamiento y prevención de las enfermedades del aparato estomatognático”
obstetricia “parte de la medicina que se ocupa del embarazo, el parto y el período de tiempo posterior a este”
micología ”parte de la botánica que estudia los hongos”
parasitología “parte de la biología que estudia los parásitos y su relación con el hospedante, especialmente con el ser humano”
metabolismo "conjunto de transformaciones físicas, químicas y biológicas que en los organismos vivos experimentan las sustancias introducidas o las que en ellos se forman"
metabolopatías "enfermedad originada por una alteración del metabolismo del organismo, generalmente por la deficiencia de una enzima. (ver metabolismo)"
métodos enzimáticos "tiene como objetivo averiguar qué enzimas (proteínas o aceleradoras) están presentes o deficitarias en el organismo" 
microbiología "rama de la especialidad análisis clínicos que se encarga del estudio de los microorganismos patógenos para el ser humano"
monitorización "control o supervisión con ayuda de un monitor y seguimiento seriado continuo e intensivo mediante registros gráficos para obtener datos"
nefrología "especialidad médica dedicada al estudio de las enfermedades del riñón, de su diagnóstico y tratamiento"
neonatología "rama de la pediatría que se centra en el estudio del recién nacido"
neumología "estudio o tratado de las enfermedades de los pulmones o vías respiratorias en general"
neurocirugía "cirugía del sistema nervioso"
neurología "especialidad médica que estudia la fisiología, fisiopatología y procesos patológicos que afectan al sistema nervioso"
patología "parte de la medicina que tiene por objetivo el estudio de las enfermedades en todos sus aspectos"
pediatría "rama de la ciencia médica que se ocupa del desarrollo normal del niño desde el punto de vista de la salud, tanto física como mental"
prótesis "pieza o aparato que reemplaza a un órgano, miembro o parte, reproduciendo sus formas y, en lo posible, realizando los mismos servicios"
eritrocito “célula de la sangre de forma redonda u ovalada y de color rojo que contiene hemoglobina y se encarga de transportar el oxígeno a todas las partes del cuerpo”
psiquiatría "rama de la medicina que se ocupa del estudio, diagnóstico y tratamiento de las enfermedades mentales"
quimioterapia "tratamiento con determinados productos químicos. aplicable también normalmente al tratamiento de tumores malignos"internista "son los expertos a quienes recurren los médicos de atención primaria y el resto de especialistas para atender a enfermos complejos"
recurrente "que ocurre, aparece o se realiza con cierta frecuencia o de manera iterativa"
nivel "hace referencia a la posición relativa de determinados conjuntos de elementos"
incidencia "cosa que se produce en el transcurso de un asunto, un relato, etc., y que repercute en el alterandolo o interrumpiendolo"
importante "algo significativo, considerable, principal, sustancial, notable"
amenaza "que constituye una posible causa de riesgo o perjuicio para alguien"
isoniazida "farmaco antituberculoso activo frente a Mycobacterium tuberculosis"
taquicardia "velocidad excesiva del ritmo de los latidos del corazón"
resistencia "la acción en la que una persona, animal, cosa u organismo resiste o tiene la capacidad de resistirse"
insidioso "que contiene un engaño oculto o disimulado para perjudicar a alguien"
pacientes "personas enfermas que son atendidas por un profesional de la salud"
penicilina "antibióticos empleados profusamente en el tratamiento de infecciones provocadas por bacterias sensibles"
infeccioso "de la infección o que tiene relación con la invasión y multiplicación de agentes patógenos en un tejido orgánico"
diagnostico "análisis que se realiza para determinar cualquier situación y cuáles son las tendencias"
ambiente "que rodea a un cuerpo o circula a su alrededor"
parotiditis "inflamación de las parótidas debida a una infección causada por un virus"
respuesta "acción de responder"
frotis "método de exploración microscópica de un fragmento de tejido o secreción"
inmunidad "estado de resistencia natural o adquirida que poseen algunos organismos"
factores "elementos, condicionantes que contribuyen a lograr un resultado"
carencia "falta o privación de algo necesario"
edematosos "aspecto tumefacto y con hinchazón de un tejido por la acumulación de líquidos"
trastornos "cambios o alteraciónes que se producen en la esencia o las características permanentes que conforman una cosa"
bacteria "microorganismo unicelular que presenta un tamaño de algunos micrómetros de largo "
abscesos "acumulaciónes de pus, internas o externas, en un tejido orgánico"
simple "que está formado por un solo elemento, y no compuesto de varios"
dosis "cantidad de algo, especialmente la de un medicamento o una droga que se ingiere en una toma"
embargo "se utiliza para indicar que lo que se dice a continuación es contradictorio con lo dicho anteriormente"
sodio "elemento químico de número atómico 11, masa atómica 22,99 y símbolo Na"
discapacidad "limitación de alguna facultad física o mental que imposibilita o dificulta el desarrollo normal de la actividad de una persona"
enzimas "son moléculas de naturaleza proteica que catalizan reacciones químicas, siempre que sean termodinámicamente posibles"
anemia "se caracteriza por la disminución anormal del número o tamaño de los glóbulos rojos que contiene la sangre o de su nivel de hemoglobina"
enfermedad "alteración leve o grave del funcionamiento normal de un organismo"
trimestre "período de tres meses"
plaquetas "son pequeños fragmentos de células sanguíneas"
hematomas "es la acumulación de sangre causada por una hemorragia interna"
infartos "es el nombre que se le da a la necrosis isquémica o muerte de un tejido en un órgano"
malestar "sensación física de indisposición y molestia general e imprecisa"
cefalea "dolor de cabeza intenso y persistente que va acompañado de sensación de pesadez"
epigastrio "región superior del abdomen que va desde la punta del esternón hasta el ombligo"
peso "fuerza con que la Tierra atrae a un cuerpo, por acción de la gravedad"
edema "exceso de líquido en algún órgano o tejido del cuerpo que, en ocasiones, puede ofrecer el aspecto de una hinchazón blanda"
proteinuria "presencia en la orina de proteínas en una cantidad superior a la normal"
preeclampsia "estado patológico de la mujer en el embarazo que se caracteriza por hipertensión arterial"
prematuro "que ocurre o sucede antes del tiempo que se considera habitual o necesario"
placenta "organo que desarrollan durante la gestación las hembras de los mamíferos"
renal "del riñón o relacionado con él"
prurito "deseo constante, y a veces excesivo, de hacer una cosa de la forma más completa o perfecta posible"
ictericia "coloración amarillenta de la piel y las mucosas"
fosfatasa "es una enzima clasificada dentro de las hidrolasas"
bilirrubina "pigmento amarillo que se encuentra en la bilis y se forma por la degradación de la hemoglobina"
colesterol "sustancia grasa que se encuentra en las membranas de muchas células animales y en el plasma sanguíneo"
biopsia "examen microscópico de un trozo de tejido o una parte de líquido orgánico que se extrae de un ser vivo"
hepatocelular "es responsable de la mayoría de los cánceres del hígado"
tratamiento "manera de actuar, de comportarse o de proceder una persona en su relación con los demás"
difenhidramina "es un medicamento antihistamínico, sedante e hipnótico perteneciente al grupo de las etanolaminas"
inhibir "impedir o reprimir el ejercicio de facultades o hábitos"
sangre "líquido, de color rojo en los vertebrados"
feto "embrión de los vivíparos a partir del momento en que ha adquirido la conformación característica de la especie a que pertenece"
droga "sustancia natural, de origen vegetal o animal, o sintética, que se emplea en química o en tintorería, o en farmacia y medicina"
cantante "podría referirse a bad bunny"
aburridora "que puede aburrir a los demás"
camino "donde puedo andar libremente"
existencia "lugar donde te toca vivir"
viviente "que no esta muerto"
aventura "tomar el metro en hora pico"
tragedia "que te suceda algo malo"
repetir "decir algo mas veces de las que debes"
cognoscitiva "Es un proceso a través del cual el sujeto capta los aspectos de la realidad, a través de los órganos sensoriales con el propósito de comprender la realidad"
arrastrados "que se deslizan por el piso"
estado "cuando cambias de humor"
embotellada "como viene el agua a veces"
embutida "que la amarran demasiado"
metida "que esta dentro de algo"
procesa "cuando entiendes algo que te dicen"
soledad "suena a soledad bravo"
profundidades "el fondo del oceano"
decepcionados "una promesa incumplida"
radicalmente "extremos opuestos"
sucesivas "generaciones de seres vivos"
espantoso "las películas de terror"
aguja "buscar una aguja en un pajar"
camello "desierto del sahara"
fundamentos "fundamentalistas religiosos"
abandona "gente que se va del hogar"
cierra "el ultimo cierra la puerta y apaga la luz"
diezmo "lo que piden en la iglesia evangélica"
fracaso "incumplimiento de objetivos"
disolver "bicarbonato con limon"
cadenas "impiden el paso"
