hepatitis "es una enfermedad inflamatoria que afecta al hígado."
edema "Presencia de un exceso de líquido en algún órgano o tejido del cuerpo que, en ocasiones, puede ofrecer el aspecto de una hinchazón blanda."
electrólitos "Mineral que está en los líquidos del organismo y que tiene una carga eléctrica."
encefalopatía "Enfermedad que afecta al encéfalo."
endurecimiento "Acción de endurecer o endurecerse."
epigastrio "Acción de endurecer o endurecerse."
episódica "Del episodio o relacionado con él."
estenosis "Estrechez o estrechamiento de un orificio o conducto."
etanol "Líquido incoloro, de olor fuerte e inflamable que se obtiene por destilación de productos de fermentación de sustancias azucaradas o feculentas."
etiología "Estudio sobre las causas de las cosas."
exudados "Líquido que se filtra desde los vasos sanguíneos hacia los tejidos cercanos."
farmacológico "De la farmacología o relacionado con ella."
feocromocitoma "Tumor de la médula suprarrenal de la glándula adrenal."
flujo "Movimiento de un fluido."
fortuito "Que sucede inesperadamente y por casualidad."
hallazgo "Acción de hallar."
hiperlipidemias "Presencia de niveles elevados de los lípidos en la sangre."
ictus "Acceso morboso que se manifiesta de modo súbito y violento, como producido por un golpe."
infarto "Obstrucción de los tejidos que forman un órgano, o una parte de él, debido a la interrupción del riego sanguíneo de la arteria o las arterias correspondientes
intensidad "Gran actividad en un período de tiempo."
isquemia "Detención o disminución de la circulación de sangre a través de las arterias de una determinada zona."
latido "Movimiento diferenciado en el ritmo de contracción y dilatación del corazón y las arterias."
macular "Ensuciar una cosa dejando una mácula."
maligna "Que tiende a hacer daño y desea el mal de otras personas o se alegra de él."
medicamentos "Cualquier sustancia, natural o sintética que se destine al ser humano con fines de curación, tratamiento o prevención de las enfermedades o sus síntomas."
monitorización "Acción de monitorizar."
obesidad "Estado patológico que se caracteriza por un exceso o una acumulación excesiva y general de grasa en el cuerpo."
palpación "Palpamiento, en especial el que se realiza como método exploratorio de diagnóstico médico sobre las partes externas del cuerpo o las cavidades accesibles."
presión "Acción de apretar o presionar."
procedimientos "Método o modo de tramitar o ejecutar una cosa."
pseudohipertensión "Presencia persistente de cifras tensionales elevadas, a pesar del tratamiento farmacológico con escaso o ningún compromiso de órgano blanco debido a rigidez y endurecimiento de las arterias."
retiniano "De la retina o relacionado con esta membrana ocular."
retinopatía "Enfermedad no inflamatoria de la retina."
retroperitoneales "Trata de lo perteneciente a órganos estrechamente unidos a la pared abdominal posterior y parcialmente cubiertos por peritoneo
riesgo "Posibilidad de que se produzca un contratiempo o una desgracia, de que alguien o algo sufra perjuicio o daño."
siológica "Posibilidad de que se produzca un contratiempo o una desgracia, de que alguien o algo sufra perjuicio o daño."
sistólica "De la sístole o relacionado con este movimiento del corazón."
suprarrenales "Glándula endocrina situada encima de los riñones que produce hormonas que regulan el metabolismo y el equilibrio de líquidos e iones."
telerradiografía "Realización de radiografías, con larga distancia entre el foco o tubo emisor y el objeto (superior a dos metros), con la finalidad de disminuir el efecto de la magnificación en la imagen obtenida."
tensiómetro "Instrumento para medir las tensiones superficiales."
triglicéridos "tipo de grasa presente en la sangre."
ultrasonido "Vibración mecánica de frecuencia superior a la de las que puede percibir el oído."
vigabatrina "es un agente antiepiléptico que inhibe el catabolismo del GABA por inhibición de la transaminasa GABA"
vulvovaginitis "es una infección, inflamación o irritación de la vulva, la vagina o ambas"
ecocardiograma "Gráfico que registra la posición y los movimientos del corazón mediante ondas ultrasónicas"
fisiopatológicamente "Parte de la biología que estudia el funcionamiento de un organismo o de un tejido durante el curso de una enfermedad"
toxoplasmosis "Enfermedad causada por protozoos que se presenta en diversos mamíferos, aves y reptiles y puede contagiarse al ser humano por contacto con animales afectados, especialmente gatos, o por el consumo de verduras contaminadas con las deyecciones de estos"
tripanosomiosis "Enfermedad infecciosa provocada por protozoos parásitos del género Trypanosoma" 
esquistosomiosis "es una enfermedad parasitaria producida por gusanos platelmintos de la clase trematodos del género Schistosoma"
triquinosis "Enfermedad parasitaria provocada por la invasión de las larvas de triquina en los músculos del organismo"
estreptoquinasa "La plasmina se produce en la sangre con el fin de degradar los principales componentes de los coágulos sanguíneos y fibrina"
amiodarona "La amiodarona es un agente antiarrítmico usado en varios tipos de taquiarritmias tanto ventriculares como supraventriculares"
tromboembolismo "Tromboembolismo es una situación clínica que ocurre cuando se genera un coágulo en el interior del sistema vascular y permanece in situ"
amiloide "sustancia que es rico en azúcar y se deposita en un tejido durante la amilosis"
heparina "Sustancia anticoagulante natural que existe normalmente en todos los tejidos del cuerpo humano, especialmente en el hígado, los pulmones y los músculos"
teratogénicos "Un agente teratogénico es una sustancia, agente físico u organismo capaz de provocar un defecto congénito durante la gestación del feto"
warfarina "La warfarina pertenece a una clase de medicamentos llamados anticoagulantes"
plasminógeno "El plasminógeno o profibrinolisina​ es una glucoproteína sintetizada por el hígado"
xantelasmas "es un término médico usado para denominar a pequeños tumores benignos o levantamientos grasos"
trazodona "es un fármaco antidepresivo de segunda generación del grupo químico de las fenilpiperazinas"
somatomorfos "es la presencia de síntomas físicos que sugieren una enfermedad médica y que no pueden explicarse"
tigeciclina "Tigeciclina es el primero de una nueva familia de antibacterianos de amplio espectro, las glicilciclinas"
tenofovir "enofovir es un medicamento antiviral que se emplea para el tratamiento de la infección por el virus de la inmunodeficiencia humana"
talidomida " es un fármaco que fue comercializado entre los años 1957 y 1963 como sedante y como calmante de las náuseas durante los tres primeros meses de embarazo"
sulfonilureas "Las sulfonilureas son medicamentos pertenecientes a la clase de antidiabéticos orales"
sulfasalazina "La sulfasalazina fue desarrollada en los años 30 para tratar la artritis reumatoide" 
rivastigmina "La rivastigmina es un fármaco colinérgico, inhibidor de la acetilcolinesterasa"
simpaticolíticos "Sustancia que inhibe, parcial o completamente, los efectos de la estimulación del sistema nervioso simpático o de la descarga de la médula adrenal"
repaglinida "un agente antidiabético diabetes de tipo 2 comercializado por Novo Nordisk"
raloxifeno "Medicamento que se usa para reducir el riesgo de un cáncer de mama invasor en mujeres posmenopáusicas"
nifurtimox "Nifurtimox es un 5-nitrofurano​ comercialmente distribuido como Lampit"
olanzapina "La olanzapina es estructuralmente similar a la clozapina, y se clasifica como una tienobenzodiazepina"
meningitis "infección caracterizada por la inflamación de las meninges"
pacientes "personas enfermas que son atendidas por profesionales de la salud"
colitis "referencia a cualquier proceso inflamatorio que afecta al colon"
ADN "ácido nucléico que contiene las instrucciones genéticas usada en el desarrollo y funcionamiento de todos los organismos vivos "
anemia "cantidad disminuida de glóbulos rojos"
eritrocitarios "también llamados glóbulos rojos o hematíes son las célular más numerosas de la sangre"
membrana "elemento en la interfaz de una célula con su medio exterior"
hemoglobina "pigmento rojo contenido en los hematies de la sandre cuya función consiste en captar el oxígeno de los alveolos pulmonares y comunicarlo a los tejidos"
genes "unidad de información en un locus de ADN que codifica un producto funcional"
retina "tejido sensible a la luz situado en la superficie interior del ojo"
colesterol "esterol que se encuentra en los tejidos corporales y en el plasma sanguíneo"
sensibilidad "facultad de sentir"
insulina "hormona polipeptídica formada por 51 aminoácidos"
urticaria "enfermedad de la piel caracterizada por lesiones cutáneas edematosas de contornos delimitados y con un halo eritematoso"
edema "acumulación de líquido en el espacio extracelular o intersticial, además de las cavidades del organismo"
terapia "conjunto de métodos utilizados para la curación de enfermedades y lesiones"
plasma "componente líquido que se encuentra en la sangre"
anticoagulante "sustancia endógena o exógena que interfiere o inhibe la coagulación de la sagre"
diverticulitis "trastorno digestivo consecuencia de una diverticulosis lo cual implica la formación de bolsas en la pared del intestino"
carbono "elemento químico de número atómico 6"
trastornos "desajustes en ciertos parámetros que mantienen el equilibrio en un sistema"
enfermedad "alteración del estado fisiológico en una o varias partes del cuerpo"
espectrina "una de las proteinas más importantes del eritrocito"
fagocitosis "tipo de endocitosis por lo cual algunas células rodean con su membrana citoplasmática partículas sólidas y las introducen al interior celular"
celulitis "inflamación aguda de los tejidos blandos de la piel, de caracter difuso, doloros y supurativo"
anticuerpos "empleados por el sistema inmunitario para identificar y neutralizar elementos extraños"
potasio "elemento químico de la tabla periódica cuyo símbolo químico es K"
tejidos "materiales biológicos naturales constituidos por un conjunto complejo y organizado de células, de uno o de varios tipos, distribuidas regularmente con un comportamiento fisiológico coordinado y un origen embrionario común"
malestar "sensación vaga e indefinible del mal funcionamiento orgánico"
sangre "tejido conectivo líquido que circula por capilares, venas y arterias de todos los vertebrados"
sutura "intervención médica en la cual se junta las heridas de la piel, de los organos internos y de los tejidos vasculares"
plaquetas "pequeños fragmentos citoplasmáticos, irregulares, carentes de npucleo que curan heridas"
extracelular "conjunto de materiales extracelulares que forman parte de un tejido"
abscesos "infección e inflamación del tejido del organismo caracterizado por la hinchazón y la acumulación de pus"
enzimas "moléculas de naturaleza proteica que catalizan reacciones químicas"
sepsis "síndrome de anormalidades fisiológicas, patológicas y bioquímicas potencialmente mortal asociadas a una infección"
tuberculosis "infección bacterianacontagiosa que compromete principalmente a los pulmones, pero puede propagarse a otros órganos"
estreptococos "grupo de bacterias formado por cocos gram -positivos pertenecientes al filo firmicutes​ y al grupo de las bacterias ácido lácticas"
necrosis "patrón morfológico de la muerte patológica de un conjunto de células o de cualquier tejido en un organismo vivo, provocada por un agente nocivo que causa una lesión tan grave que no se puede reparar o curar"
vacunas "preparación biológica que proporciona inmunidad adquirida activa ante una determinada enfermedad"
cistitis "inflamación aguda de la vejiga urinaria, con infección o sin ella"
dosis "antidad de principio activo de un medicamento, expresado en unidades de volumen o peso por unidad de toma en función de la presentación, que se administrará de una vez"
creatinina "producto de desecho del metabolismo normal de los músculos que habitualmente produce el cuerpo en una tasa muy constante (dependiendo de la masa de los músculos), y que normalmente filtran los riñones excretándola en la orina"
medicamento "uno o más fármacos integrados en una forma farmacéutica, presentado para expendio y uso industrial o clínico, y destinado para su utilización en personas o en animales, dotado de propiedades que permiten el mejor efecto farmacológico de sus componentes con el fin de prevenir, aliviar o mejorar el estado de salud de las personas enfermas, o para modificar estados fisiológicos"
inmune "que no puede contraer una determinada enfermedad o ser atacado por un agente infeccioso o tóxico"
virales "agente infeccioso microscópico acelular que solo puede multiplicarse dentro de las células de otros organismos"
orina "líquido acuoso transparente y amarillento, de olor característico, secretado por los riñones y eliminado al exterior por el aparato urinario"
arterial "es cada uno de los vasos que llevan la sangre desde el corazón hacia los capilares del cuerpo. Nacen de un ventrículo; sus paredes son muy resistentes y elásticas"
cerebro "órgano que centraliza la actividad del sistema nervioso y existe en la mayor parte de los animales"
placenta "órgano efímero presente en los mamíferos placentarios y que relaciona estrechamente al bebé con su madre, satisfaciendo las necesidades de respiración, nutrición y excreción del feto durante su desarrollo"
embarazo "período que transcurre entre la implantación del cigoto en el útero, hasta el momento del parto, en cuanto a los significativos cambios fisiológicos, metabólicos e incluso morfológicos que se producen en la mujer encaminados a proteger, nutrir y permitir el desarrollo del feto, como la interrupción de los ciclos menstruales, o el aumento del tamaño de las mamas para preparar la lactancia"
dolor "experiencia sensorial y emocional (subjetiva), desagradable, que pueden experimentar todos aquellos seres vivos que disponen de un sistema nervioso central"
ligamentos "banda de tejido conjuntivo denso o fibroso muy sólido y elástico que une los huesos entre ellos en el seno de una articulación"
ﬁbrosis "desarrollo en exceso de tejido conectivo fibroso en un órgano o tejido como consecuencia de un proceso reparativo o reactivo, en contraposición a la formación de tejido fibroso como constituyente normal de un órgano o tejido"
nervios "conjunto de prolongaciones nerviosas o axones (en ocasiones dendritas) asociadas en fascículos por medio de tejido conjuntivo"
lupus "una de las enfermedades autoinmunitarias más prevalente, es crónica, caracterizada por un curso cíclico donde se alternan períodos de exacerbaciones y remisiones, sistémica, ya que afecta prácticamente cualquier órgano del cuerpo, y heterogénea, puesto que el espectro de manifestaciones clínicas y alteraciones serológicas es muy amplio y variado"
vasos "estructura hueca y tubular que conduce la sangre impulsada por la acción del corazón, cuya función principal es transportar nutrientes, oxígeno y desechos del cuerpo"
fatiga "es la falta de fuerzas después de realizar un trabajo físico, intelectual o emocional, o por la falta de descanso"
inhibir "interrumpir una función o actividad del organismo temporalmente mediante la acción de un estímulo adecuado se inhibió la segregación de una glándula mediante un fármaco"
abdomen "cavidad del cuerpo humano situada entre la cara inferior del tórax y la cara superior de la pelvis y las extremidades inferiores, en los mamíferos, separada de la caja torácica por el diafragma"
cuello "Parte del cuerpo que une la cabeza con el tronco, en el hombre y otros vertebrados"
ligamentos "es una banda de tejido conjuntivo denso o fibroso muy sólido y elástico que une los huesos entre ellos en el seno de una articulación"
dolor "Percepción sensorial localizada y subjetiva que puede ser más o menos intensa, molesta o desagradable y que se siente en una parte del cuerpo"
insuﬁciencia "Falta o escasez de la cantidad que se necesita de una cosa."
laboratorio "Local provisto de aparatos y utensilios adecuados para realizar experimentos científicos y análisis químicos, farmacéuticos, etc"
renal "Del riñón o relacionado con él"
órgano "Unidad funcional de un organismo multicelular que constituye una unidad estructural y realiza una función determinada"
diario "Que ocurre, se hace o se repite cada día"
síndrome "Conjunto de síntomas que se presentan juntos y son característicos de una enfermedad o de un cuadro patológico determinado provocado, en ocasiones, por la concurrencia de más de una enfermedad"
asma "Enfermedad del aparato respiratorio que se caracteriza por una respiración anhelosa y difícil, tos, sensación de ahogo y ruidos sibilantes en el pecho"
Edad "tiempo transcurrido a partir del nacimiento de un individuo"
membrana "Lámina de tejido orgánico, generalmente flexible y resistente, de los seres animales o vegetales, entre cuyas funciones están la de recubrir un órgano o un conducto o la de separar o conectar dos cavidades o estructuras adyacentes"
evolución "Cambio o transformación gradual de algo, como un estado, una circunstancia, una situación, unas ideas, etc"
afección "Enfermedad que se padece en una determinada parte del organismo"
arterial "es cada uno de los vasos que llevan la sangre desde el corazón hacia los capilares del cuerpo"
alivio  "Disminución o mitigación de una enfermedad, una pena, una fatiga"
